timestamp,date,time,source,total_objects,object_names,image_path
2026-06-07T17:27:22.376076,2026-06-07,17:27:22,webcam,1,person,output/object\webcam_detect_20260607_172722_3715.jpg
2026-06-07T17:27:25.402550,2026-06-07,17:27:25,webcam,1,person,output/object\webcam_detect_20260607_172725_3972.jpg
2026-06-07T17:27:29.461954,2026-06-07,17:27:29,webcam,1,person,output/object\webcam_detect_20260607_172729_4565.jpg
2026-06-07T17:27:33.243290,2026-06-07,17:27:33,webcam,1,person,output/object\webcam_detect_20260607_172733_2377.jpg
2026-06-07T17:27:36.458209,2026-06-07,17:27:36,webcam,2,person,output/object\webcam_detect_20260607_172736_4520.jpg
2026-06-07T17:27:39.508968,2026-06-07,17:27:39,webcam,1,person,output/object\webcam_detect_20260607_172739_5028.jpg
2026-06-07T17:27:42.527452,2026-06-07,17:27:42,webcam,1,person,output/object\webcam_detect_20260607_172742_5217.jpg
2026-06-07T17:27:46.646745,2026-06-07,17:27:46,webcam,1,person,output/object\webcam_detect_20260607_172746_6414.jpg
2026-06-07T17:27:49.720214,2026-06-07,17:27:49,webcam,2,person,output/object\webcam_detect_20260607_172749_7152.jpg
2026-06-07T17:27:53.974975,2026-06-07,17:27:53,webcam,2,"person, bottle",output/object\webcam_detect_20260607_172753_9695.jpg
2026-06-07T17:27:57.053547,2026-06-07,17:27:57,webcam,1,person,output/object\webcam_detect_20260607_172757_0484.jpg
2026-06-07T17:28:00.232309,2026-06-07,17:28:00,webcam,2,person,output/object\webcam_detect_20260607_172800_2270.jpg
2026-06-07T17:28:03.279027,2026-06-07,17:28:03,webcam,1,person,output/object\webcam_detect_20260607_172803_2736.jpg
2026-06-07T17:28:21.841567,2026-06-07,17:28:21,webcam,1,person,output/object\webcam_detect_20260607_172821_8373.jpg
2026-06-07T17:28:24.884250,2026-06-07,17:28:24,webcam,1,person,output/object\webcam_detect_20260607_172824_8810.jpg
2026-06-07T17:28:28.051362,2026-06-07,17:28:28,webcam,1,person,output/object\webcam_detect_20260607_172828_0457.jpg
2026-06-07T17:28:31.106553,2026-06-07,17:28:31,webcam,1,person,output/object\webcam_detect_20260607_172831_1021.jpg
2026-06-07T17:28:34.447520,2026-06-07,17:28:34,webcam,1,person,output/object\webcam_detect_20260607_172834_4407.jpg
2026-06-07T17:28:38.030572,2026-06-07,17:28:38,webcam,1,person,output/object\webcam_detect_20260607_172838_0237.jpg
2026-06-07T17:28:43.637545,2026-06-07,17:28:43,webcam,1,person,output/object\webcam_detect_20260607_172843_6258.jpg
2026-06-07T17:28:47.749930,2026-06-07,17:28:47,webcam,1,person,output/object\webcam_detect_20260607_172847_7328.jpg
2026-06-07T17:28:51.192525,2026-06-07,17:28:51,webcam,1,person,output/object\webcam_detect_20260607_172851_1862.jpg
2026-06-07T17:28:54.456402,2026-06-07,17:28:54,webcam,1,person,output/object\webcam_detect_20260607_172854_4485.jpg
2026-06-07T17:28:57.706834,2026-06-07,17:28:57,webcam,1,person,output/object\webcam_detect_20260607_172857_7001.jpg
2026-06-07T17:29:01.365140,2026-06-07,17:29:01,webcam,1,person,output/object\webcam_detect_20260607_172901_3587.jpg
2026-06-07T17:29:04.486800,2026-06-07,17:29:04,webcam,1,person,output/object\webcam_detect_20260607_172904_4794.jpg
2026-06-07T17:29:07.695883,2026-06-07,17:29:07,webcam,1,person,output/object\webcam_detect_20260607_172907_6906.jpg
